Submitted On,Email Address,Name,domain
05/17/2020 14:08:07,pippo@gmail.com,,gmail.com
05/18/2020 20:24:50,pluto@gmail.com,,gmail.com
05/25/2020 11:12:40,paperino@yahoo.com,,yahoo.com
05/25/2020 13:57:10,qui@gmail.com,,gmail.com
05/25/2020 17:36:19,quo@gmail.com,,gmail.com
05/25/2020 19:41:33,qua@yahoo.com,,yahoo.com
05/26/2020 15:57:52,paperoga@yahoo.com,,yahoo.com
06/01/2020 6:05:11,archimede@gmail.com,,gmail.com
06/10/2020 4:19:19,topolino@aol.com,,aol.com
06/11/2020 17:17:57,ziopaperone@gmail.com,,gmail.com
